Entry	Entry name	Entry name	Protein names	Gene names	Organism	Gene names  (synonym )	Gene names  (primary )
Q9H2K8	TAOK3	taok3	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)	TAOK3 DPK JIK KDS MAP3K18	Homo sapiens (Human)	DPK JIK KDS MAP3K18	TAOK3
Q15750	TAB1	tab1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 1) (TGF-beta-activated kinase 1-binding protein 1) (TAK1-binding protein 1)	TAB1 MAP3K7IP1	Homo sapiens (Human)	MAP3K7IP1	TAB1
Q8N5C8	TAB3	tab3	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 3) (NF-kappa-B-activating protein 1) (TAK1-binding protein 3) (TAB-3) (TGF-beta-activated kinase 1-binding protein 3)	TAB3 MAP3K7IP3	Homo sapiens (Human)	MAP3K7IP3	TAB3
A7MCY6	TBKB1	tbkb1	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)	TBKBP1 KIAA0775 SINTBAD	Homo sapiens (Human)	KIAA0775 SINTBAD	TBKBP1
P36897	TGFR1	tgfr1	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	Homo sapiens (Human)	ALK5 SKR4	TGFBR1
Q7L7X3	TAOK1	taok1	Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)	TAOK1 KIAA1361 MAP3K16 MARKK	Homo sapiens (Human)	KIAA1361 MAP3K16 MARKK	TAOK1
Q9UHD2	TBK1	tbk1	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	TBK1 NAK	Homo sapiens (Human)	NAK	TBK1
Q969Z0	TBRG4	tbrg4	Protein TBRG4 (Cell cycle progression restoration protein 2) (Cell cycle progression protein 2) (FAST kinase domain-containing protein 4) (Transforming growth factor beta regulator 4)	TBRG4 CPR2 FASTKD4 KIAA0948	Homo sapiens (Human)	CPR2 FASTKD4 KIAA0948	TBRG4
Q8TEA7	TBCK	tbck	TBC domain-containing protein kinase-like protein	TBCK TBCKL HSPC302	Homo sapiens (Human)	TBCKL	TBCK
Q96S53	TESK2	tesk2	Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)	TESK2	Homo sapiens (Human)		TESK2
Q15569	TESK1	tesk1	Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)	TESK1	Homo sapiens (Human)		TESK1
Q3LXA3	TKFC	tkfc	Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]	TKFC DAK	Homo sapiens (Human)	DAK	TKFC
Q8IWB6	TEX14	tex14	Inactive serine/threonine-protein kinase TEX14 (Protein kinase-like protein SgK307) (Sugen kinase 307) (Testis-expressed sequence 14) (Testis-expressed sequence 14 protein)	TEX14 SGK307	Homo sapiens (Human)	SGK307	TEX14
Q6PHR2	ULK3	ulk3	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	ULK3	Homo sapiens (Human)		ULK3
Q6PFW1	VIP1	vip1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 1) (Histidine acid phosphatase domain-containing protein 2A) (IP6 kinase) (Inositol pyrophosphate synthase 1) (InsP6 and PP-IP5 kinase 1) (VIP1 homolog) (hsVIP1)	PPIP5K1 HISPPD2A IP6K IPS1 KIAA0377 VIP1	Homo sapiens (Human)	HISPPD2A IP6K IPS1 KIAA0377 VIP1	PPIP5K1
P30530	UFO	ufo	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)	AXL UFO	Homo sapiens (Human)	UFO	AXL
Q8TAS1	UHMK1	uhmk1	Serine/threonine-protein kinase Kist (EC 2.7.11.1) (Kinase interacting with stathmin) (PAM COOH-terminal interactor protein 2) (P-CIP2) (U2AF homology motif kinase 1)	UHMK1 KIS KIST	Homo sapiens (Human)	KIS KIST	UHMK1
P07947	YES	yes	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES	Homo sapiens (Human)	YES	YES1
Q6P090	Q6P090	q6p090	CLK4 protein (Dual-specificity protein kinase CLK4)	CLK4	Homo sapiens (Human)		CLK4
A8K7I0	A8K7I0	a8k7i0	"CDC-like kinase 2, isoform CRA_a (cDNA FLJ75168, highly similar to Homo sapiens CDC-like kinase 2 (CLK2), transcript variant phclk2,mRNA)"	CLK2 hCG_15308	Homo sapiens (Human)		CLK2
H3BP85	H3BP85	h3bp85	Serine/threonine-protein kinase ULK3	ULK3	Homo sapiens (Human)		ULK3
B4DTR1	B4DTR1	b4dtr1	Receptor protein-tyrosine kinase (EC 2.7.10.1)	ERBB2	Homo sapiens (Human)		ERBB2
C9IYH2	C9IYH2	c9iyh2	Mitogen-activated protein kinase kinase kinase 13	MAP3K13	Homo sapiens (Human)		MAP3K13
A4D159	A4D159	a4d159	"Serine/threonine kinase 31 (Serine/threonine kinase 31, isoform CRA_a)"	STK31 hCG_37985 tcag7.164	Homo sapiens (Human)		STK31
L7RSM2	L7RSM2	l7rsm2	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK14 hCG_1818055	Homo sapiens (Human)		MAPK14
N0E644	N0E644	n0e644	Casein kinase II subunit beta (CK II beta)	CSNK2B-LY6G5B-562 CSNK2B	Homo sapiens (Human)	CSNK2B	CSNK2B-LY6G5B-562
A0A0G2JM58	A0A0G2JM58	a0a0g2jm58	Casein kinase II subunit beta (CK II beta)	CSNK2B	Homo sapiens (Human)		CSNK2B
A0A024QZ20	A0A024QZ20	a0a024qz20	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK7 hCG_30677	Homo sapiens (Human)		MAPK7
A0A024R4H1	A0A024R4H1	a0a024r4h1	"Phosphoinositide-3-kinase, catalytic, delta polypeptide, isoform CRA_a"	PIK3CD hCG_1748740	Homo sapiens (Human)		PIK3CD
E5RHP0	E5RHP0	e5rhp0	Nucleoside diphosphate kinase A	NME1	Homo sapiens (Human)		NME1
A0A087WZV0	A0A087WZV0	a0a087wzv0	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	PPIP5K2	Homo sapiens (Human)		PPIP5K2
N0GVR9	N0GVR9	n0gvr9	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A (Fragment)	DYRK1A_var1 DYRK1A_var2	Homo sapiens (Human)	DYRK1A_var2	DYRK1A_var1
F1T0G6	F1T0G6	f1t0g6	Tyrosine-protein kinase (EC 2.7.10.2)	MATK hCG_23522	Homo sapiens (Human)		MATK
D4Q8H0	D4Q8H0	d4q8h0	Mitogen-activated protein kinase kinase kinase MLT (Protein kinase)	pk ZAK	Homo sapiens (Human)	ZAK	pk
B3KU25	B3KU25	b3ku25	"Pyruvate dehydrogenase kinase, isozyme 4, isoform CRA_b (cDNA FLJ39109 fis, clone NTONG2005137, highly similar to dehydrogenase)"	PDK4 hCG_38945	Homo sapiens (Human)		PDK4
B7ZAX5	B7ZAX5	b7zax5	"N-acetylgalactosamine kinase (cDNA, FLJ79339, highly similar to N-acetylgalactosamine kinase (EC 2.7.1.157))"	GALK2	Homo sapiens (Human)		GALK2
A2SY06	A2SY06	a2sy06	MAP/microtubule affinity-regulating kinase 3 (Fragment)	MARK3	Homo sapiens (Human)		MARK3
G3V317	G3V317	g3v317	Cyclin-dependent kinase 2	CDK2	Homo sapiens (Human)		CDK2
V9HWG4	V9HWG4	v9hwg4	"Epididymis luminal protein 37 (Phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III, isoform CRA_d)"	HEL37 PIP5K3 hCG_2036625	Homo sapiens (Human)	PIP5K3	HEL37
A0A140VJL1	A0A140VJL1	a0a140vjl1	"Homeodomain interacting protein kinase 4, isoform CRA_b (Testicular tissue protein Li 87)"	HIPK4 hCG_20798	Homo sapiens (Human)		HIPK4
A0A0A0MSZ1	A0A0A0MSZ1	a0a0a0msz1	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	MARK3 hCG_25498	Homo sapiens (Human)		MARK3
E5RHT7	E5RHT7	e5rht7	MAPK/MAK/MRK overlapping kinase	MOK	Homo sapiens (Human)		MOK
F8W9P4	F8W9P4	f8w9p4	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	PIK3CD	Homo sapiens (Human)		PIK3CD
F5H4Y8	F5H4Y8	f5h4y8	5'-AMP-activated protein kinase subunit beta-1	PRKAB1	Homo sapiens (Human)		PRKAB1
A0A024R5B2	A0A024R5B2	a0a024r5b2	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	MARK2 hCG_21366	Homo sapiens (Human)		MARK2
D6RF40	D6RF40	d6rf40	S-phase kinase-associated protein 2	SKP2	Homo sapiens (Human)		SKP2
H0Y889	H0Y889	h0y889	Inactive tyrosine-protein kinase 7 (Fragment)	PTK7	Homo sapiens (Human)		PTK7
Q5HYF5	Q5HYF5	q5hyf5	Putative uncharacterized protein DKFZp313C1916 (TBC domain-containing protein kinase-like protein)	DKFZp313C1916 TBCK	Homo sapiens (Human)	TBCK	DKFZp313C1916
A0A0D9SEY1	A0A0D9SEY1	a0a0d9sey1	"Mitogen-activated protein kinase kinase kinase kinase 4 (Mitogen-activated protein kinase kinase kinase kinase 4, isoform CRA_a)"	MAP4K4 hCG_1640439	Homo sapiens (Human)		MAP4K4
D9MND2	D9MND2	d9mnd2	Mutant TEK tyrosine kinase (Fragment)	TEK	Homo sapiens (Human)		TEK
G3V105	G3V105	g3v105	"Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta, isoform CRA_b (Inhibitor of nuclear factor kappa-B kinase subunit beta)"	IKBKB hCG_17395	Homo sapiens (Human)		IKBKB
B3KTH7	B3KTH7	b3kth7	"Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_p (cDNA FLJ38257 fis, clone FCBBF3001235, highly similar to Calcium/calmodulin-dependent protein kinase type II gamma chain (EC 2.7.11.17))"	CAMK2G hCG_20541	Homo sapiens (Human)		CAMK2G
Q5SR50	Q5SR50	q5sr50	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	PIK3CD	Homo sapiens (Human)		PIK3CD
Q5Y191	Q5Y191	q5y191	Aurora kinase C (Aurora-C)	AURKC	Homo sapiens (Human)		AURKC
Q9BVE2	Q9BVE2	q9bve2	CDC2L5 protein (Cyclin-dependent kinase 13)	CDK13	Homo sapiens (Human)		CDK13
A0A024R567	A0A024R567	a0a024r567	Mitogen-activated protein kinase kinase kinase kinase (EC 2.7.11.1)	MAP4K2 hCG_23379	Homo sapiens (Human)		MAP4K2
E9PAN7	E9PAN7	e9pan7	Ribosomal protein S6 kinase alpha-1	RPS6KA1	Homo sapiens (Human)		RPS6KA1
J3KPD6	J3KPD6	j3kpd6	Tyrosine-protein kinase (EC 2.7.10.2)	HCK	Homo sapiens (Human)		HCK
Q573B4	Q573B4	q573b4	Tyrosine-protein kinase (EC 2.7.10.2)	LCK	Homo sapiens (Human)		LCK
M0R2X3	M0R2X3	m0r2x3	Dual-specificity tyrosine-phosphorylation-regulated kinase 1B	DYRK1B	Homo sapiens (Human)		DYRK1B
Q96BE9	Q96BE9	q96be9	"CDK4 protein (Cyclin-dependent kinase 4) (Cyclin-dependent kinase 4, isoform CRA_c)"	CDK4 hCG_40151	Homo sapiens (Human)		CDK4
A0A024R0Y5	A0A024R0Y5	a0a024r0y5	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	PFKM hCG_27714	Homo sapiens (Human)		PFKM
F8W1M3	F8W1M3	f8w1m3	Diacylglycerol kinase alpha (Fragment)	DGKA	Homo sapiens (Human)		DGKA
E5RFX9	E5RFX9	e5rfx9	MAPK/MAK/MRK overlapping kinase	MOK	Homo sapiens (Human)		MOK
D6W5G0	D6W5G0	d6w5g0	"AP2 associated kinase 1, isoform CRA_a"	AAK1 hCG_1776993	Homo sapiens (Human)		AAK1
A0A024R4X1	A0A024R4X1	a0a024r4x1	"Protein kinase C and casein kinase substrate in neurons 2, isoform CRA_a"	PACSIN2 hCG_41906	Homo sapiens (Human)		PACSIN2
E7EPI0	E7EPI0	e7epi0	Inhibitor of Bruton tyrosine kinase	IBTK	Homo sapiens (Human)		IBTK
Q53GM7	Q53GM7	q53gm7	"Connector enhancer of kinase suppressor of Ras 1 variant (Connector enhancer of kinase suppressor of Ras 1, isoform CRA_b) (Fragment)"	CNKSR1 hCG_40691	Homo sapiens (Human)		CNKSR1
B4E214	B4E214	b4e214	"cDNA FLJ52049, weakly similar to 5'-AMP-activated protein kinase subunit beta-2 (cDNA, FLJ79082, weakly similar to 5'-AMP-activated protein kinase subunit beta-2)"		Homo sapiens (Human)		
D3DUP2	D3DUP2	d3dup2	"WNK lysine deficient protein kinase 1, isoform CRA_d"	WNK1 hCG_25271	Homo sapiens (Human)		WNK1
A4D1H4	A4D1H4	a4d1h4	"Pyruvate dehydrogenase kinase, isoenzyme 4 (Pyruvate dehydrogenase kinase, isozyme 4, isoform CRA_a) (cDNA, FLJ92766, Homo sapiens pyruvate dehydrogenase kinase, isoenzyme 4 (PDK4), mRNA)"	PDK4 hCG_38945 tcag7.283	Homo sapiens (Human)		PDK4
A0A087X1F3	A0A087X1F3	a0a087x1f3	Phosphoinositide 3-kinase regulatory subunit 6	PIK3R6	Homo sapiens (Human)		PIK3R6
B4DUK8	B4DUK8	b4duk8	"5'-AMP-activated protein kinase subunit gamma-3 (cDNA FLJ60036, highly similar to 5'-AMP-activated protein kinase subunit gamma-3)"	PRKAG3	Homo sapiens (Human)		PRKAG3
K7EK41	K7EK41	k7ek41	cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment)	PRKAR1A	Homo sapiens (Human)		PRKAR1A
B7Z325	B7Z325	b7z325	"cDNA FLJ55062, highly similar to Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1)"		Homo sapiens (Human)		
D6R9B0	D6R9B0	d6r9b0	Cyclin-dependent kinase 18 (Fragment)	CDK18	Homo sapiens (Human)		CDK18
K7ESB6	K7ESB6	k7esb6	Casein kinase I isoform gamma-2 (Fragment)	CSNK1G2	Homo sapiens (Human)		CSNK1G2
M0QYM9	M0QYM9	m0qym9	Fms-related tyrosine kinase 3 ligand	FLT3LG	Homo sapiens (Human)		FLT3LG
I3L3F2	I3L3F2	i3l3f2	Phosphorylase b kinase regulatory subunit beta (Fragment)	PHKB	Homo sapiens (Human)		PHKB
H0YME5	H0YME5	h0yme5	eIF-2-alpha kinase GCN2 (Fragment)	EIF2AK4	Homo sapiens (Human)		EIF2AK4
B7Z4T1	B7Z4T1	b7z4t1	"cDNA FLJ55229, highly similar to Sphingosine kinase 2 (EC 2.7.1.-)"		Homo sapiens (Human)		
A0A087WUU7	A0A087WUU7	a0a087wuu7	Serine/threonine-protein kinase greatwall (Fragment)	MASTL	Homo sapiens (Human)		MASTL
H0Y431	H0Y431	h0y431	Serine/threonine-protein kinase 32C	STK32C	Homo sapiens (Human)		STK32C
E5RGM6	E5RGM6	e5rgm6	Tyrosine-protein kinase Fyn (Fragment)	FYN	Homo sapiens (Human)		FYN
A8K1M2	A8K1M2	a8k1m2	"cDNA FLJ75174, highly similar to Homo sapiens calmodulin 1 (phosphorylase kinase, delta), mRNA"		Homo sapiens (Human)		
F6U4U2	F6U4U2	f6u4u2	Serine/threonine-protein kinase Nek2	NEK2	Homo sapiens (Human)		NEK2
Q5JPT2	Q5JPT2	q5jpt2	SH3 domain-containing kinase-binding protein 1 (Fragment)	SH3KBP1	Homo sapiens (Human)		SH3KBP1
D6R9R7	D6R9R7	d6r9r7	S-phase kinase-associated protein 2 (Fragment)	SKP2	Homo sapiens (Human)		SKP2
E7BSV0	E7BSV0	e7bsv0	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)		EGFR
M0R340	M0R340	m0r340	"Atypical kinase COQ8B, mitochondrial (Fragment)"	COQ8B	Homo sapiens (Human)		COQ8B
B4DDN2	B4DDN2	b4ddn2	"cDNA FLJ60411, highly similar to Serine/threonine-protein kinase Nek11 (EC2.7.11.1)"		Homo sapiens (Human)		
H0Y9C2	H0Y9C2	h0y9c2	Calcium/calmodulin-dependent protein kinase type II subunit delta (Fragment)	CAMK2D	Homo sapiens (Human)		CAMK2D
B7ZKY2	B7ZKY2	b7zky2	Calcium/calmodulin-dependent serine protein kinase (MAGUK family)	CASK	Homo sapiens (Human)		CASK
I3L0Z1	I3L0Z1	i3l0z1	Phosphorylase b kinase regulatory subunit beta (Fragment)	PHKB	Homo sapiens (Human)		PHKB
Q59F04	Q59F04	q59f04	Receptor protein-tyrosine kinase (EC 2.7.10.1) (Fragment)		Homo sapiens (Human)		
F8VZY6	F8VZY6	f8vzy6	Cyclin-dependent kinase 17 (Fragment)	CDK17	Homo sapiens (Human)		CDK17
E9PIQ5	E9PIQ5	e9piq5	Serine-protein kinase ATM (Fragment)	ATM	Homo sapiens (Human)		ATM
E9PR89	E9PR89	e9pr89	Serine/threonine-protein kinase Sgk1	SGK1	Homo sapiens (Human)		SGK1
D6RAW3	D6RAW3	d6raw3	Cyclin-G-associated kinase (Fragment)	GAK	Homo sapiens (Human)		GAK
B2MXD7	B2MXD7	b2mxd7	Anaplastic lymphoma kinase (Fragment)	ALK	Homo sapiens (Human)		ALK
C9JL08	C9JL08	c9jl08	1-phosphatidylinositol 3-phosphate 5-kinase (Fragment)	PIKFYVE	Homo sapiens (Human)		PIKFYVE
A5XEH7	A5XEH7	a5xeh7	WNK lysine deficient protein kinase 1 (Fragment)	WNK1	Homo sapiens (Human)		WNK1
Q86VW5	Q86VW5	q86vw5	Mitogen-activated protein kinase 8 interacting protein 2	MAPK8IP2	Homo sapiens (Human)		MAPK8IP2
B4DP95	B4DP95	b4dp95	"cDNA FLJ58600, highly similar to Inhibitor of nuclear factor kappa B kinase subunit beta (EC 2.7.11.10)"		Homo sapiens (Human)		
A0A087WVN8	A0A087WVN8	a0a087wvn8	Serine/threonine-protein kinase 4 (Fragment)	STK4	Homo sapiens (Human)		STK4
I3L144	I3L144	i3l144	Serine/threonine-protein kinase SMG1 (Fragment)	SMG1	Homo sapiens (Human)		SMG1
H3BQ25	H3BQ25	h3bq25	Tau-tubulin kinase 2 (Fragment)	TTBK2	Homo sapiens (Human)		TTBK2
F2Z2V1	F2Z2V1	f2z2v1	FGGY carbohydrate kinase domain-containing protein	FGGY	Homo sapiens (Human)		FGGY
H3BPI9	H3BPI9	h3bpi9	Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment)	AMHR2	Homo sapiens (Human)		AMHR2
J3KT82	J3KT82	j3kt82	Serine/threonine-protein kinase tousled-like 2 (Fragment)	TLK2	Homo sapiens (Human)		TLK2
K7EKC4	K7EKC4	k7ekc4	Megakaryocyte-associated tyrosine-protein kinase (Fragment)	MATK	Homo sapiens (Human)		MATK
Q59FQ5	Q59FQ5	q59fq5	RYK receptor-like tyrosine kinase isoform 1 variant (Fragment)		Homo sapiens (Human)		
B2R4K1	B2R4K1	b2r4k1	cAMP-dependent protein kinase inhibitor		Homo sapiens (Human)		
A0A0S2Z472	A0A0S2Z472	a0a0s2z472	Protein kinase cAMP-dependent regulatory type II alpha isoform 1 (Fragment)	PRKAR2A	Homo sapiens (Human)		PRKAR2A
B4DK59	B4DK59	b4dk59	"cDNA FLJ59558, highly similar to Serine/threonine-protein kinase PFTAIRE-1 (EC 2.7.11.22)"		Homo sapiens (Human)		
M0R362	M0R362	m0r362	"Atypical kinase COQ8B, mitochondrial (Fragment)"	COQ8B	Homo sapiens (Human)		COQ8B
E9PPN3	E9PPN3	e9ppn3	N-terminal kinase-like protein	SCYL1	Homo sapiens (Human)		SCYL1
A0A087WSY1	A0A087WSY1	a0a087wsy1	"Muscle, skeletal receptor tyrosine-protein kinase"	MUSK	Homo sapiens (Human)		MUSK
J3KPI6	J3KPI6	j3kpi6	Mitogen-activated protein kinase kinase kinase 9	MAP3K9	Homo sapiens (Human)		MAP3K9
N0E650	N0E650	n0e650	Casein kinase II subunit beta (CK II beta) (Fragment)	CSNK2B	Homo sapiens (Human)		CSNK2B
B4E185	B4E185	b4e185	"cDNA FLJ61527, highly similar to Serine/threonine-protein kinase 25 (EC 2.7.11.1)"		Homo sapiens (Human)		
A0A024R0H3	A0A024R0H3	a0a024r0h3	"Membrane associated guanylate kinase, WW and PDZ domain containing 3, isoform CRA_a"	MAGI3 hCG_2043269	Homo sapiens (Human)		MAGI3
Q8NAW0	Q8NAW0	q8naw0	"cDNA FLJ34684 fis, clone LIVER2005527, highly similar to SELENIDE,WATER DIKINASE 2 (EC 2.7.9.3)"		Homo sapiens (Human)		
F8VXR5	F8VXR5	f8vxr5	Protein kinase C-binding protein NELL2 (Fragment)	NELL2	Homo sapiens (Human)		NELL2
B2RAJ6	B2RAJ6	b2raj6	"cDNA, FLJ94957, highly similar to Homo sapiens phosphoinositide-3-kinase, regulatory subunit 4, p150 (PIK3R4), mRNA"		Homo sapiens (Human)		
A0A096LP32	A0A096LP32	a0a096lp32	Cyclin-dependent kinase-like 5 (Fragment)	CDKL5	Homo sapiens (Human)		CDKL5
E9PRH7	E9PRH7	e9prh7	Mitogen-activated protein kinase 3 (Fragment)	MAPK3	Homo sapiens (Human)		MAPK3
E9PRZ0	E9PRZ0	e9prz0	Dual-specificity mitogen-activated protein kinase kinase 3 (Fragment)	MAP2K3	Homo sapiens (Human)		MAP2K3
A0A087X030	A0A087X030	a0a087x030	Serine/threonine-protein kinase Nek3 (Fragment)	NEK3	Homo sapiens (Human)		NEK3
B2R747	B2R747	b2r747	"cDNA, FLJ93281, highly similar to Homo sapiens calcium/calmodulin-dependent protein kinase IV (CAMK4), mRNA"		Homo sapiens (Human)		
A0A087WWN8	A0A087WWN8	a0a087wwn8	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (Fragment)	PPIP5K2	Homo sapiens (Human)		PPIP5K2
I3L326	I3L326	i3l326	Hepatocyte growth factor-regulated tyrosine kinase substrate (Fragment)	HGS	Homo sapiens (Human)		HGS
E3WH17	E3WH17	e3wh17	Tyrosine-protein kinase receptor (EC 2.7.10.1)	SQSTM1-ALK	Homo sapiens (Human)		SQSTM1-ALK
Q9UPB7	Q9UPB7	q9upb7	Cyclin-dependent kinase inhibitor 2A (Fragment)	CDKN2A	Homo sapiens (Human)		CDKN2A
B7Z870	B7Z870	b7z870	"cDNA FLJ52648, highly similar to Protein kinase C gamma type (EC 2.7.11.13)"		Homo sapiens (Human)		
M0QYK8	M0QYK8	m0qyk8	Aurora kinase C (Fragment)	AURKC	Homo sapiens (Human)		AURKC
B7ZB71	B7ZB71	b7zb71	"cDNA, FLJ79435, highly similar to Serine/threonine-protein kinase SMG1 (EC 2.7.11.1)"		Homo sapiens (Human)		
H0YN24	H0YN24	h0yn24	Tyrosine-protein kinase receptor TYRO3 (Fragment)	TYRO3	Homo sapiens (Human)		TYRO3
A0A1B0GVJ3	A0A1B0GVJ3	a0a1b0gvj3	Bifunctional polynucleotide phosphatase/kinase (Fragment)	PNKP	Homo sapiens (Human)		PNKP
B3KR30	B3KR30	b3kr30	"cDNA FLJ33557 fis, clone BRAMY2009489, highly similar to Homo sapiens SPHK1 (sphingosine kinase type 1) interacting protein (SKIP), mRNA"		Homo sapiens (Human)		
M1VPF6	M1VPF6	m1vpf6	Tyrosine-protein kinase receptor (EC 2.7.10.1)	CD74-ROS1_C6;R32	Homo sapiens (Human)		CD74-ROS1_C6;R32
B3KWC4	B3KWC4	b3kwc4	"cDNA FLJ42748 fis, clone BRAWH3000329, highly similar to Mitogen-activated protein kinase kinase kinase kinase 5 (EC 2.7.11.1)"		Homo sapiens (Human)		
A0A0S2Z392	A0A0S2Z392	a0a0s2z392	Protein-serine/threonine kinase (EC 2.7.11.-) (Fragment)	ADRBK1	Homo sapiens (Human)		ADRBK1
A8KA75	A8KA75	a8ka75	"cDNA FLJ75190, highly similar to H.sapiens phosphatidylinositol 3-kinase"		Homo sapiens (Human)		
H3BRW9	H3BRW9	h3brw9	Dual-specificity mitogen-activated protein kinase kinase 1	MAP2K1	Homo sapiens (Human)		MAP2K1
B7Z629	B7Z629	b7z629	"cDNA FLJ61371, highly similar to Phosphatidylinositol 3-kinase regulatory subunit alpha"		Homo sapiens (Human)		
Q86V29	Q86V29	q86v29	Wee1-like protein kinase (EC 2.7.10.2)	WEE1	Homo sapiens (Human)		WEE1
H0Y493	H0Y493	h0y493	Serine/threonine-protein kinase WNK2 (Fragment)	WNK2	Homo sapiens (Human)		WNK2
K7ERJ1	K7ERJ1	k7erj1	Thymidine kinase (EC 2.7.1.21) (Fragment)	TK1	Homo sapiens (Human)		TK1
A6PW57	A6PW57	a6pw57	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	PIP5K1A	Homo sapiens (Human)		PIP5K1A
H7C0V7	H7C0V7	h7c0v7	Serine/threonine-protein kinase Chk2 (Fragment)	CHEK2	Homo sapiens (Human)		CHEK2
X5DNR8	X5DNR8	x5dnr8	Non-specific serine/threonine protein kinase (EC 2.7.11.1) (Fragment)	MARK1	Homo sapiens (Human)		MARK1
B5BUJ6	B5BUJ6	b5buj6	MAP kinase interacting serine/threonine kinase 1 (Fragment)	MKNK1	Homo sapiens (Human)		MKNK1
Q59FC1	Q59FC1	q59fc1	Mitogen-activated protein kinase kinase kinase 8 variant (Fragment)		Homo sapiens (Human)		
B4DV01	B4DV01	b4dv01	"cDNA FLJ57605, highly similar to Protein kinase C eta type (EC 2.7.11.13)"		Homo sapiens (Human)		
B4DM60	B4DM60	b4dm60	"cDNA FLJ51499, highly similar to BR serine/threonine-protein kinase 2 (EC 2.7.11.1)"		Homo sapiens (Human)		
B3KQ31	B3KQ31	b3kq31	"cDNA FLJ32694 fis, clone TESTI2000349, highly similar to Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25)"		Homo sapiens (Human)		
F8WDP7	F8WDP7	f8wdp7	Cyclin-dependent kinase 15	CDK15	Homo sapiens (Human)		CDK15
A0A1B0GUQ3	A0A1B0GUQ3	a0a1b0guq3	Leucine-rich repeat serine/threonine-protein kinase 2 (Fragment)	LRRK2	Homo sapiens (Human)		LRRK2
D6RHX7	D6RHX7	d6rhx7	Mitogen-activated protein kinase-binding protein 1	MAPKBP1	Homo sapiens (Human)		MAPKBP1
